Erdat   ;Vbeln     ;Wadaf   ;Wadat   ;TimF;TimT;Werk;Matnr             ;Empt       ;Lgmng      ;Kunnr          ;Name1                                   ;Stcd2         ;Name3                         ;Telf1               ;Empt1                                                                                                        ;Sxol1                                                                           ;Empt2                                                                           ;Ort02               ;Ort01                    ;Stras                        ;Pstlz;Text1                         ;Posnr ;Text2                                         ;Kunrg          ;Kunpy          ;
20181220;2105536254;20181220;20181220;0000;2359;2490;2084103           ;           ;00000000001;0000142792     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000001;                                              ;               ;               ;
20181220;2105536254;20181220;20181220;0000;2359;2490;2181117           ;           ;00000000001;0000142792     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000002;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2181108           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000001;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2092203           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000002;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2092112           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000003;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2092113           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000004;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2081119           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000005;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2081120           ;           ;00000000003;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000006;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2081128           ;           ;00000000003;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000007;                                              ;               ;               ;
20181220;2105536255;20181220;20181220;0000;2359;2490;2081180           ;           ;00000000001;0000142789     ;****************************************;**************;******************************;********************;                                                                                                             ;                                                                                ;                                                                                ;********************;*************************;*****************************;*****;–—œ” –ŸÀ«”«                   ;000008;                                              ;               ;               ;
